Test 1,,,,,Test 2,,,
,,,,,,,,
X Raw,Y Raw,,,,X Raw,Y Raw,,
16.977539,23.487891,,,,15.726562,21.515625,,
16.620117,23.846484,,,,16.441406,20.798437,,
17.513672,22.232812,,,,15.547852,22.053516,,
17.692383,21.694922,,,,15.369141,20.439844,,
16.262695,23.846484,,,,15.905273,21.336328,,
16.441406,21.157031,,,,17.334961,22.770703,North,
18.407227,21.336328,,,,18.764648,20.619141,X Average,Y Average
17.334961,22.770703,,,,15.369141,20.798437,16.307373,21.29150388
17.513672,21.515625,,,,16.307373,21.29150388,,
17.513672,22.95,,,,16.307373,21.29150388,,
18.228516,23.308594,,,,16.307373,21.29150388,,
16.620117,23.487891,North,,,16.307373,21.29150388,,
17.513672,22.232812,X Avg,Y Avg,,16.307373,21.29150388,,
17.692383,22.412109,17.30943086,22.59140614,,16.307373,21.29150388,,
15.547852,15.957422,x,x,,16.083984,16.495313,x,x
8.041992,5.558203,x,x,,3.75293,-1.613672,x,x
1.429688,-0.717187,,,,2.859375,-2.151562,,
-3.216797,1.075781,,,,2.859375,-1.434375,,
-2.680664,1.972266,,,,2.501953,-1.075781,,
-1.072266,1.792969,,,,2.323242,-3.048047,,
-1.250977,1.972266,,,,1.787109,-1.075781,,
-0.357422,1.434375,,,,2.323242,-0.179297,,
-1.429688,2.86875,,,,3.216797,-1.792969,,
-2.144531,1.434375,,,,1.608398,-0.179297,,
-0.536133,2.689453,,,,1.96582,-0.896484,East,
-1.96582,3.048047,,,,2.323242,-2.330859,X Average,Y Average
-1.608398,1.972266,,,,2.859375,-1.075781,2.420720727,-1.385475727
-1.787109,1.792969,,,,2.420720727,-1.385475727,,
-1.608398,2.330859,,,,2.420720727,-1.385475727,,
-1.96582,3.765234,,,,2.420720727,-1.385475727,,
-0.714844,2.86875,,,,2.420720727,-1.385475727,,
-1.96582,2.330859,,,,2.420720727,-1.385475727,,
-1.608398,2.330859,,,,2.420720727,-1.385475727,,
0.357422,0.358594,East,,,2.420720727,-1.385475727,,
-1.250977,1.613672,X Avg,Y Avg,,2.420720727,-1.385475727,,
-0.893555,1.972266,-1.31352535,1.94537115,,2.420720727,-1.385475727,,
-1.787109,2.510156,x,x,,1.787109,0.717187,x,x
-12.867188,8.60625,x,x,,2.859375,0,x,x
-23.232422,18.646875,x,x,,0,-0.717187,x,x
-21.087891,20.798437,,,,-20.730469,15.419531,,
-20.90918,21.336328,,,,-21.802734,16.495313,,
-21.087891,19.722656,,,,-21.802734,16.136719,,
-22.517578,20.798437,,,,-21.266602,15.598828,,
-20.551758,19.543359,,,,-21.266602,15.598828,,
-21.981445,18.826172,,,,-21.981445,15.598828,,
